customer_number,route_number,account_name,address,city,state,zip_code,service_days,avg_wkly_volume,latitude,longitude,uniform_customer
318289,2502-05,Wrenchers,1954 Ferry Street,Anderson,CA,96007,W,$38 ,40.44944,-122.3009,20
209005,2502-05,Mountain View School ,675 Shasta View Dr,Redding,CA,96003-8287,F,$25 ,40.60181,-122.3265,0
191360,2502-05,Becca's Cafe,2083 Balls Ferry Rd,Anderson,CA,96007-3403,W,$122 ,40.448769,-122.295723,0
244762,2502-05,Miller Trucking,4650 Mountain Lakes Blvd,Redding,CA,96003-1449,F,$16 ,40.63203,-122.382912,5
244894,2502-05,Shasta Lake City Hall,4477 Main Street,Shasta Lake,CA,96019,R,$27 ,40.68208,-122.36536,0
170864,2502-05,Wilgus Fire/Safeguard,4544 Mountain Lakes Boulevard,Redding,CA,96003,M,$41 ,40.63176,-122.38567,0
171069,2502-05,Youngman Trucking,6895 Eastside Rd,Anderson,CA,96007-9406,T,$63 ,40.485512,-122.3517,3
274895,2502-05,250 Hemsted LP,250 Hemsted Dr,Redding,CA,960020911,M,$40 ,40.57267,-122.36615,0
289017,2502-05,Panda Express D/S,5000 Rhonda Rd,Anderson,CA,96007,W,$0 ,40.4315,-122.29007,0
290906,2502-05,Ridgeview Residential Center,2096 Cascade Blvd.,Shasta Lake,CA,96019,R,$124 ,40.67376,-122.35457,0
291133,2502-05,SC-Shasta County Fire,875 Cypress Ave,Redding,CA,96001,M,$33 ,40.57446,-122.38338,10
291135,2502-05,SC-Sheriff / Coronor's Office,4555 Veteran Lane,Redding,CA,96001,T,$95 ,40.54851,-122.38276,24
294828,2502-05,Spec-Rite,2175 Kenyon Dr,Redding,CA,96001,T,$25 ,40.54327,-122.38844,0
314174,2502-05,Mongoose Trucking,17850 Construction Way,Redding,CA,96003,R,$25 ,40.66492,-122.39585,6
314951,2502-05,SRMC - Anderson,2830 East Street,Anderson,CA,96007,W,$51 ,40.45061,-122.29671,0
317298,2502-05,Automotive Service Center,2800 West Center Street,Anderson,CA,96007,W,$19 ,40.44838,-122.29921,10
317878,2502-05,Tune it Up,3025-A Twin View Boulevard,Shasta Lake,CA,96019,R,$14 ,40.65912,-122.35636,0
